127.0.0.1 - hoang [16/Dec/2023:00:14:38 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:14:38 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:14:38 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:14:38 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:14:38 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:14:38 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:14:38 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:14:38 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:14:38 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:14:38 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:14:38 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - hoang [16/Dec/2023:00:14:38 +0700] "GET /manager/text/list HTTP/1.1" 200 1566
127.0.0.1 - hoang [16/Dec/2023:00:14:38 +0700] "GET /manager/text/list HTTP/1.1" 200 1566
127.0.0.1 - hoang [16/Dec/2023:00:14:39 +0700] "GET /manager/text/undeploy?path=/PE_PRJ301 HTTP/1.1" 200 69
127.0.0.1 - hoang [16/Dec/2023:00:14:39 +0700] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FADMIN%2FAppData%2FLocal%2FTemp%2Fcontext4218550019288937476.xml&path=/PE_PRJ301 HTTP/1.1" 200 67
127.0.0.1 - hoang [16/Dec/2023:00:14:39 +0700] "GET /manager/text/start?path=/PE_PRJ301 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:14:39 +0700] "GET /PE_PRJ301 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:14:39 +0700] "GET /PE_PRJ301/ HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:14:43 +0700] "POST /PE_PRJ301/MainController HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [16/Dec/2023:00:14:50 +0700] "GET /PE_PRJ301/MainController?search=&action=Search HTTP/1.1" 200 2096
127.0.0.1 - - [16/Dec/2023:00:15:00 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:15:00 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:15:00 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:15:00 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:15:00 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:15:00 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:15:00 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:15:00 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:15:00 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - hoang [16/Dec/2023:00:15:00 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [16/Dec/2023:00:15:00 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
